Municipality,PROJECT_ID,AREA,RAINFALL,LAKEPERC,MORAIPERC,RIVERPERC,CLAYPERC,GRAVELPERC,PEATPERC,ROCKPERC,FORESTPERC,HEATSUM,FARMEDPERC,FIELDPERC,INCOME,nay100ha,TAXES,pop1945,HeightRANGE,HeightMEAN,HtMEDIAN,CentroidE,CentroidN
Ilomantsi ,70,137227,584.651,17.07,44.77,10.63,0.02,12.23,25.99,1.66,85.815,1022.15,0.7,1.988,16.08,220,175.73,10328,171,166.1175373,165,30.99397812,62.83783006
Impilahti,71,88940,618.043,1.17,41.73,5.22,8.06,34.87,0.41,9.35,80.466,1115.68,2.8,4.791,20.55,204,114.98,14190,105,57.63309025,63,31.41515007,61.70544617
Isojoki,74,63361,579.382,0.84,52.54,16.81,10.84,6.87,27.81,1.71,68.044,1119.83,5,10.311,6.9,153,70.2,5394,175,102.9757161,101,21.90583033,62.11934029
Isokyrö,75,90003,557.529,0.13,45.57,22.01,33.33,2.09,14.95,3.93,65.003,1103.08,26.2,14.839,11.07,71,91.69,6839,57,40.66888889,39,22.3446928,62.97626789
Jaakkima,76,77680,560.674,0,18.95,4.68,5.09,39.75,13.15,18.99,80.817,1247.94,11.3,12.471,17.56,779,118.64,10700,106,49.79562044,53,30.19658384,61.54550256
Jaala,77,36067,544.175,28.51,37.3,6.9,4.83,5.45,1.53,24.09,76.162,1229.37,5.7,8.445,20.68,186,124.56,3225,98,94.71561051,93,26.48662909,61.13553502
Jalasjärvi,78,79867,555.099,2.15,41.33,15.39,20.65,1.78,25.9,8.43,68.596,1090.55,18,19.7,6.26,71,66.87,12939,112,120.7861969,121,22.8335377,62.43711927
Janakkala,79,40382,587.346,7.3,23.35,13.73,37.44,13.06,10.88,8.5,68.627,1222.27,16.5,17.029,37.51,111,162.2,9012,102,108.2813688,106,24.67144893,60.86474118
Jepua,80,16470,551.98,0.31,36.87,12.93,27.2,9.58,21.72,4.62,64.999,1079.82,17.2,19.18,16.44,65,88.03,1785,41,35.21983914,35,22.75192631,63.37847459
Joensuu,81,413575,548.323,8.84,23.63,9.73,4.73,43.88,14.45,1.7,77.001,1113.01,0.7,3.946,61.77,35,647.63,6157,167,103.5979681,91,29.91305575,62.62668878
Johannes,82,22177,646.029,0.78,47.12,7.94,37.98,6.5,6.14,0,74.073,1261.52,10.1,11.974,22.68,133,111.6,10303,62,24.29333333,22,28.79173909,60.51649803
Jokioinen,83,17815,605.452,1.02,21.76,22.44,50.44,8.85,4.27,13.79,54.953,1195.62,30.5,37.542,26.37,88,163.95,5193,69,112.8598131,113,23.46258265,60.83709023
Joroinen,84,68556,562.366,23.11,57.54,10.77,3.38,10.26,5.82,0.97,75.596,1199.99,8.8,7.931,20.32,136,175.95,6810,116,98.17706237,95,27.77378636,62.19244895
Joutsa,85,42780,550.063,35.48,55.47,5.28,0.41,3.63,2.66,3.33,85.138,1202.68,9.3,6.874,13.7,170,91.7,4972,130,113.5559465,109,26.25878757,61.75750183
Joutseno,86,28345,592.399,31.43,1.28,9.47,27.23,18.21,5.01,17.04,74.405,1270.93,9.4,11.242,27.56,154,211.01,8265,97,66.90586797,68,28.57907642,61.12100366
Juankoski,87,147775,599.319,40.98,53.48,2.99,1.35,4.23,0,0.61,74.783,1159.55,1.8,11.808,19.72,51,185.97,1985,87,99.66326531,92,28.32781632,63.07205896
Jurva,90,17070,555.819,0.2,60.05,22.72,23.17,1.31,15.24,0.22,64.994,1092.23,19.8,23.794,4.73,103,37.49,5568,129,103.1044304,92,21.93407661,62.66315003
Juuka,91,147775,601.292,22.37,55.61,12.05,2.01,3.65,6.96,10.75,84.827,1020.43,1.8,1.854,11.9,336,119.86,10417,236,153.9773869,155,29.17884459,63.20790187
Juupajoki,92,62735,605.817,9.28,19.8,21.93,17.6,15.31,5.47,34.09,81.096,1198.37,10.2,11.608,22.17,45,155.2,3201,104,143.9393491,145,24.47058211,61.82435317
Juva,93,114999,553,16.41,58.25,11.9,0,3.92,9.45,13.4,79.01,1201.26,8,7.401,14.44,162,124.43,11959,104,110.4624924,112,27.80441831,61.84096935
Jyväskylä,94,74442,559.2,21.44,54.54,10.06,4.79,7.81,0.62,12.49,85.023,1188.9,7.6,7.13,47.77,95,364.56,35998,173,137.2768427,137,25.72977953,62.25942573
Jämijärvi,97,19489,620.461,7.98,30.56,12.92,36.27,11.92,12.25,1.37,67.933,1164.73,11.4,15.656,8.67,124,80.58,3618,82,124.4797794,124,22.67556323,61.84220381
Jämsä,98,104500,583.478,20.69,33.27,12.36,13.07,5.55,3.04,25.69,84.898,1199.34,7.8,7.465,21.88,102,212.09,8489,143,122.8995327,122,25.21910736,61.88147891
Jäppilä,99,15438,564.263,24.69,60.2,6.85,0.42,8.64,4.47,2.52,79.383,1200.26,11.1,11.374,13.7,188,119.52,2894,103,110.3308365,109,27.43167673,62.39611922
Jääski,101,40060,611.092,9.54,25.65,7.8,39.79,18.2,2.6,7.41,70.82,1248.52,13.9,11.485,38.1,125,179.94,3233,98,41.57399103,39,28.89250982,61.04179544
Kaarina,102,7037,624.959,1.57,3.4,9.03,52.38,5.87,0,36.76,65.021,1336.28,38.2,37.503,48.37,95,357.52,2572,59,30.39534884,30,22.34769593,60.42598137
Kaavi,104,86430,606.808,23.51,63.13,9.55,0.27,4.15,1.39,9.84,80.542,1111.55,3.3,5.443,8.49,258,115.93,6682,177,131.8163118,131,28.68766075,63.00829711
Kajaani,106,119110,605.537,17.55,50.04,7.57,2.72,2.14,24.2,4.11,81.89,1000.37,0.9,2.207,44.38,267,366.7,12981,167,171.0652985,170,27.64527777,64.09816541
Kakskerta,107,3124,615.716,7.18,0,0,25.37,2.17,0,64.79,65.117,1350,27.4,37.492,33.1,80,141.42,574,33,14.10810811,13,22.20568756,60.36453448
Kalanti,108,27090,609.781,2.31,19.41,19.13,21.39,1.49,10.97,46.74,65.023,1250.85,16.4,22.64,10.9,129,90.15,3545,35,12.22170543,11,21.51705337,60.80768233
Kalajoki,109,48561,501.165,0.58,33.03,16.05,5.78,39.12,10.52,11.55,65.021,1049.86,7.8,10.774,12.72,124,115.26,6190,57,32.89236364,34,23.9953532,64.22596279
Kalvola,111,34100,560.489,11.73,50.24,12.99,9.12,13.15,15.08,1.88,71.421,1200.78,10.8,23.544,21.51,118,155.16,4006,118,134.5172043,139,24.01070045,61.02845537
Kangasala,112,35988,568.973,30.04,19.9,5.94,17.53,5.74,4.46,22.85,71.077,1202.61,18.5,22.788,24.6,96,178.16,7271,102,114.4593373,109,24.12505376,61.48845259
Kanneljärvi,113,82000,600.955,1.85,13.42,10.82,9.77,59.7,14.76,0,75.12,1272.99,9.2,7.797,18.33,333,103.24,3805,86,52.812,53,29.49277295,60.32944162
Kannonkoski,114,126421,529.356,24.04,67.33,7.96,0,1.78,4.45,3.05,84.957,1169.87,1.9,3.006,10.79,50,131.83,3068,119,145.5698086,145,25.33947668,62.96930971
Kangaslampi,115,26631,590.965,36.92,57.36,6.52,0,0.65,0.26,5.16,80.362,1206.74,4.6,4.427,16.02,215,95.97,2508,97,96.15369837,97,28.32312354,62.26756151
Kangasniemi,116,100110,550.082,24.79,67.81,7.09,0.09,1.96,3.18,3.42,81.109,1199.75,5.6,6.699,12.5,207,95.24,10342,125,126.8373016,123,26.618989,62.03363651
Kannus,117,40530,509.239,0.15,46.22,18.02,12.07,17.02,23.23,1.46,64.599,1042.16,9.9,9.804,12.29,105,142.14,5436,85,75.82482325,73,23.96393785,63.92430198
Kankaanpää,118,71441,611.478,3.11,30.69,15.06,17.66,11.65,24.5,12.68,67.168,1148.81,7.1,9.566,9.28,132,80.43,10649,108,106.0471233,103,22.37936267,61.84320021
Karijoki,120,15740,552.982,0.21,54.5,24.45,24.74,2.78,16.69,1.29,65.145,1111.67,14.3,21.532,8.68,104,77.74,3142,112,82.0397351,82,21.74502649,62.32596219
Karinainen,121,27664,627.76,0,13.12,17.65,56.64,4.9,5.05,20.28,54.753,1227.6,25,27.516,30.49,20,132.61,2136,48,72.80748663,73,22.79435968,60.66486498
Karkku,122,17763,595.333,20.53,29.38,7.18,20.67,0,7.43,22.24,72.962,1200.09,19.1,20.713,19.08,91,147.74,3307,101,96.06586826,98,23.07636641,61.41142951
Karjalohja,123,12000,732.096,35.15,5.06,8.1,24.05,10.35,3.29,29.77,65.154,1301,23.7,24.63,19.78,95,100.42,1901,75,55.67574932,54,23.72723432,60.23885413
Karstula,124,126901,546.746,10.6,60.07,9.45,3.82,2.61,22.05,1.54,85.293,1060.5,4.7,3.893,16.22,87,119.71,6414,112,186.3067093,187,24.76302892,62.88591304
Karttula,125,77729,543.629,25.14,65.51,14.88,0.2,3.65,3.27,4.06,84.181,1147.62,5.3,7.684,15.15,174,185.01,4751,91,119.070903,117,27.15239015,62.85245701
Karjala Tl.,126,7200,629.456,0.1,20.07,21.82,10.31,4.28,38.28,27.06,65.051,1241.53,12.3,16.677,11.81,148,98.85,1423,53,47.07142857,47,22.07788005,60.81615977
Karuna,127,8320,625.637,0.65,0.08,1.23,42.85,2.72,0,54.35,65.008,1350.05,30,37.861,20.43,79,122.6,1229,47,17.03184713,16,22.57485221,60.26616712
Karunki,128,23689,594.774,1.66,50.86,15.61,0,15.96,20.77,3.25,84.998,948.99,2.6,1.916,12.96,384,123.43,2537,112,57.67901235,58,24.05902068,66.06898457
Karvia,129,44361,585.88,3.25,34.98,15.63,19.75,6.79,34.4,1.06,75.509,1096.61,4.8,12.103,6.9,153,68.2,4972,59,149.019425,150,22.61944622,62.15226079
Kauhava,131,50632,501.354,0.61,43.83,18.38,27.17,4.23,14.39,10.38,64.994,1108.39,27.4,25.106,10.82,52,111.54,8761,94,67.32764748,69,23.14305336,63.12297999
Kauhajoki,132,126643,566.481,1.24,35.58,16.47,21.34,8.91,32.88,0.19,68.341,1094.44,11.2,14.923,9.95,77,77.53,15263,123,142.7101716,145,22.26004461,62.34072732
Kaukola,133,26433,554.142,14.26,20.67,3.42,48.43,6.37,2.13,15.87,65.629,1259.95,13.6,12.23,16.21,113,150.54,4201,61,23.33832709,21,29.77875703,61.08011621
Kaustinen,134,27450,518.356,1.48,46.58,21.54,7.71,7.24,35.88,1.58,66.791,1045.2,10.7,11.49,8.94,108,93.67,3774,124,83.42137097,79,23.78908735,63.58310968
Kauvatsa,135,15015,577.479,3.1,42.68,28.08,26.2,0.91,13.89,12.99,63.595,1202.84,18.2,23.118,15.39,90,115.63,2843,78,67.84735202,64,22.52052468,61.35579997
Keikyä,136,49261,585.645,0.81,40.06,3.35,24.06,0.74,2.13,27.07,58.283,1207.04,26.9,30.236,21.25,14,123.19,1959,73,81.69518717,85,22.6857681,61.29029494
Keitele,137,46372,578.794,17.43,64.78,14.1,1.01,1.16,15.49,0.34,84.002,1097.55,3.4,4.118,11.31,265,125.23,4189,116,128.9028995,128,26.31491843,63.19708357
Kemi,139,57329,517.691,0.32,48.41,11.34,0,21.14,21.71,5.37,85.407,944.74,2.5,3.159,47.39,284,439.96,22448,108,36.80092593,37,24.70681178,65.85053314
Kemijärvi,140,346595,486.866,9.88,61.88,9.81,0,3.86,19.93,3.76,85.52,806.24,0.7,2.509,24.32,312,240.68,9747,323,205.524106,197,27.37618068,66.6965099
Kempele,141,12683,504.366,0.4,11.01,5.28,32.86,35.66,20.47,0,65.003,1046.46,9,8.306,14.57,140,196.72,1744,41,22.81694915,24,25.57760712,64.8995458
Kerimäki,142,94698,544.395,40.9,45.57,5.77,0.12,7.57,6.04,0.74,83.159,1206.89,7.2,6.961,12.68,104,113.79,7612,87,83.72951583,84,29.28658439,61.96916672
Kestilä,143,52660,546.294,0.82,41.61,14.77,14.32,4.9,38.54,0.18,64.494,1004.42,3.8,6.641,8.3,148,100.28,3373,83,119.199308,118,26.37464975,64.3210058
Kesälahti,144,37187,546.63,37.1,24.89,5.67,0.98,29.56,8.2,0,76.036,1219.92,6.2,5.315,11.13,138,87.93,3917,74,79.61958042,78,29.7464745,61.93507857
Keuruu,145,110114,595.451,16.87,61.46,12.81,4,4.08,9.3,5.44,84.128,1144.7,4.2,4.161,23.53,153,150.41,8297,130,152.8879968,152,24.66266916,62.25970245
Kihniö,146,111384,546.661,17.55,44.67,12.33,7.02,2.37,25.43,4.24,75.138,1083.53,4.1,15.74,7.89,24,64.98,3720,71,155.5295203,154,23.2425679,62.20599284
Kiihtelysvaara,147,75241,559.586,9.26,46.5,18.8,0.7,27.41,11.86,5.52,81.984,1067.11,5.4,3.537,10.56,123,118.97,3745,146,131.9199717,131,30.30055067,62.4753367
Kiikala,148,24200,635.041,3.41,11.68,21.29,30.79,22.14,7.62,25.47,57.14,1273.29,20.5,26.232,15.87,88,131.83,3578,104,97.4675835,99,23.52853363,60.46027203
Kiikka,149,22584,586.236,4.76,49.74,10.6,19.81,2.48,12.1,10.6,61.809,1203.2,17.5,24.004,13.87,94,116.53,3750,73,88.39473684,91,22.72939759,61.35650064
Kiikoinen,150,7298,581.69,6.36,55.36,13.05,13.14,0.61,22.65,1.85,65.161,1194.74,29.1,31.477,12.24,106,88.3,2638,62,74.96484375,73,22.56240137,61.47614159
Kiiminki,151,26590,502.603,2.35,49.98,22.11,0,21.09,19.69,6.89,64.946,1034.83,2.8,4.405,9.79,235,101.33,2352,47,57.57700893,59,25.81635971,65.1259027
Kinnula,152,72422,554.75,9.6,65.63,15.85,2.61,2.85,16.96,2.95,85.161,1063.66,3.7,2.139,9.58,86,75.14,2465,98,166.9061033,167,25.02944735,63.33376168
Kirvu,153,64970,592.385,5.57,53.28,8.51,11.43,19.92,2,6.43,67.087,1254.27,7.8,8.942,15.61,158,110.67,8721,112,53.86151079,55,29.32977698,61.0911054
Kisko,154,23129,695.085,14.92,13.62,18.73,22.72,10.04,10.48,30.11,62.814,1292.52,17.6,24.84,16.01,961,139.56,3160,95,61.80495356,63,23.46202386,60.25344365
Kitee,155,95216,560.864,24.83,35.37,6.04,2.91,21.74,15.21,1.71,74.949,1155.81,8,6.572,7.76,145,61.97,11190,125,95.34412082,96,30.0770471,62.05813415
Kittilä,156,805618,421.794,1.64,55.59,12.86,0,11.2,28.21,3.55,77.153,687.96,0.1,-0.128,17.96,972,229.75,6172,598,252.4290821,238,25.0361469,67.81672355
Kiukainen,157,16970,555.283,0.47,38.32,25.75,47.91,4.99,5.64,3.14,64.993,1220.83,31.2,33.456,18.66,92,83.9,4637,40,41.22168675,40,22.03807227,61.22944517
Kiuruvesi,158,131764,555.906,8.62,64.7,12.47,5.61,0.61,19.65,1.29,77.679,1036.67,4.5,3.177,12.11,182,153.29,13395,134,135.6011809,134,26.53631917,63.68170052
Kivennapa,159,73307,604.002,0.86,58.47,9.33,1.59,28.15,10.06,0,75.277,1268.89,7.7,7.994,14.03,144,94.41,9912,151,95.79448457,101,29.83039639,60.35524102
Kivijärvi,160,126421,550.031,23.41,63.87,6.34,0,2.06,7.51,4.05,85.057,1124.75,1.9,1.872,10.79,54,131.78,2473,96,162.5022772,165,25.05366268,63.1538159
Kodisjoki,161,53165,599.298,6.25,27.47,6.52,26.41,0,8.77,32.19,64.999,1247.17,10.5,17.073,5.5,136,50.17,628,40,37.44642857,38,21.70865297,61.02996994
Koijärvi,162,70212,582.793,6.08,40.48,14.19,19,10.62,21.81,2.86,62.848,1199.55,16.3,35.651,20.05,27,139.16,2891,73,136.5123967,136,23.70682272,60.97514858
Koivisto,163,30492,643.374,3.48,5.99,0,8.52,75.81,8.69,0,74.368,1278.79,9.1,7.717,20.03,150,159.25,11993,74,25.14452555,24,28.65721497,60.3929903
