Municipality,PROJECT_ID,AREA,RAINFALL,LAKEPERC,MORAIPERC,RIVERPERC,CLAYPERC,GRAVELPERC,PEATPERC,ROCKPERC,FORESTPERC,HEATSUM,FARMEDPERC,FIELDPERC,INCOME,nay100ha,TAXES,pop1945,HeightRANGE,HeightMEAN,HtMEDIAN,CentroidE,CentroidN
Pukkila,333,14627,598.725,0.77,32.54,14.51,49.21,5.57,2.62,10.07,65.211,1239.76,26.6,33.906,20.48,91,136.42,2169,65,58.44897959,58,25.57752586,60.6538793
Pulkkila,334,33650,517.017,8.32,36.42,11.83,12.04,10.54,32.1,0.58,65.074,1002.11,5.5,6.341,7.25,153,92.39,2400,70,99.33617021,99,25.81470227,64.28362887
Punkaharju,335,94698,550.621,51.61,23.13,3.91,0,19.67,4.95,1.03,75.311,1200.62,7.2,7.811,18.65,49,124.25,3857,68,77.93359762,70,29.44406396,61.78893893
Punkalaidun,336,34066,595.525,1.05,36.5,19.19,39.57,4.12,11.33,7.62,59.228,1198.32,23.4,26.16,14.96,86,141.07,7084,59,100.8025404,100,23.13111313,61.11633062
Puolanka,337,246247,573.009,4.86,59.91,11.34,0,6.37,24.19,5.17,84.792,924.42,0.3,1.822,7.81,418,75.49,6292,243,204.1724568,198,27.77900123,64.87820797
Purmo,338,21282,537.294,2.72,62.74,23.66,9.16,2.73,20.12,3.57,65.036,1075.45,18.4,16.635,13.66,85,98.87,2516,56,48.36422414,50,23.0543589,63.4478428
Pusula,339,27339,651.705,10.04,34.97,24.07,22.74,16.44,3.7,13.82,65.011,1273.43,14.5,21.228,18.88,119,136.71,3526,124,101.3710106,105,24.00249084,60.51085226
Puumala,340,77464,556.878,46.41,16.17,4.21,0,3.89,0.24,34.94,79.026,1248.29,3.1,4.701,15.61,236,155.44,6339,106,88.68926554,88,28.18832214,61.51090083
Pyhäjoki,341,51085,500.266,0.67,63.07,16.74,2.6,7.24,11.88,15.22,65.008,1047.58,1.9,4.562,7.73,426,65.3,4609,127,49.8610729,37,24.41531123,64.41892735
Pyhämaa,342,6060,558.515,1.75,38.15,0,18.27,0,0,43.58,65.18,1250.02,8.8,34.385,7.08,190,63.24,1259,20,9.789915966,10,21.31233506,60.93798269
Pyhäjärvi Ol.,343,134100,514.615,12.19,53,6.48,1.64,2.88,28.84,1.83,74.944,1016.52,2.4,2.782,18.22,188,147.22,8071,133,162.2247161,160,25.9206976,63.66018437
Pyhäranta,344,13080,580.318,6.52,50.8,14.82,5.35,4.79,14.05,19.8,65.027,1249.62,12.1,20.635,9.35,154,66.78,2400,42,21.37183099,21,21.48052161,60.98674593
Pyhäselkä,345,44289,547.845,29.89,32.77,10.82,5.21,17.01,12.38,2.76,74.628,1121.29,7.7,4.144,9.42,80,101.69,4710,119,91.20610687,92,29.91771767,62.47432288
Pyhtää,346,27860,600.245,4.68,39.05,9.47,19.48,9.45,12.51,13.62,62.479,1298.73,10.7,14.582,24.78,123,195.31,5147,40,12.73306773,13,26.6359572,60.51873734
Pyhäjärvi Ul.,347,23717,664.224,5.06,38.03,20.97,19.55,20.78,7.65,10.18,65.908,1265.31,11.7,14.858,19.93,144,154.51,2681,139,112.2398649,118,24.23970352,60.55672912
Pyhäjärvi Vpl.,348,52160,546.575,12.39,17.57,1.7,9.64,54.29,3.81,0,66.857,1251.71,11,10.288,10.78,112,93.06,8128,82,29.54604106,31,30.2285577,60.80763013
Pyhäntä,349,76520,552.699,3.97,35.2,11.08,2.82,8.46,48.63,1.02,65.865,992.93,0.9,2.604,8.91,301,103.55,1991,111,150.5002239,145,26.47765729,64.07080061
Pylkönmäki,350,126901,547.212,8.91,67.48,12.72,1.34,2.12,22.16,0.08,85.314,1058.84,4.7,4.33,8.27,35,77.77,2170,129,201.9670862,206,24.76970142,62.67030085
Pälkjärvi,351,26310,597.215,16.76,35.7,5.64,0.16,11.89,41.21,0,74.542,1052.94,6.7,7.214,12.61,80,137.36,2054,139,105.7988904,107,30.67751556,62.07556718
Pälkäne,352,23742,533.899,36.22,21.17,6.8,16.37,9.28,4.08,14.88,67.496,1203.59,20.7,24.674,21.83,104,183.66,4168,106,110.4290466,108,24.33095953,61.33583836
Pöytyä,353,33574,626.547,0,9.67,17.12,49.67,0.65,12.15,27.86,56.949,1223.81,22.9,25.202,18.33,67,111.94,4240,75,72.68187919,73,22.66473233,60.73923885
Raahe,354,13720,497.73,0,75,3.92,6.24,18.76,0,0,65.011,1050.07,5,7.149,28.47,197,252.62,3644,38,17.40740741,15,24.51687977,64.66968916
Raisio,356,6498,620.782,0,0,8.22,51.48,1.69,0.17,46.66,65.01,1340.37,35.6,37.593,18.78,9211,125.83,2936,55,17.75714286,15,22.1722802,60.45901168
Rantasalmi,357,70825,570.224,51.33,38.02,5.23,0.58,1.74,3.68,5.42,78.953,1202.4,7.9,7.098,15.55,170,137.78,8302,102,88.07084149,88,28.30766366,62.06959522
Rantsila,358,63359,514.885,2.51,34.09,19.12,11.81,1.78,49.67,0.48,65.009,1020.35,3,5.527,9.08,199,92.08,3298,117,80.78944672,81,25.7190484,64.44826642
Ranua,359,814220,559.897,6.98,56.94,13.31,0,3.56,26.09,7.15,75.759,902.82,0.3,1.815,14.33,113,130.31,4588,183,172.2063386,169,26.61661837,65.98092354
Rautjärvi,360,40270,596.519,10.57,34.23,11.27,10.17,23.63,7.07,14.52,68.028,1243.07,8.4,8.202,10.9,163,65.77,3267,110,88.12195122,90,29.23781452,61.32173479
Rautalampi,361,116231,535.344,38.37,40.7,3.44,1.9,3.66,4.33,12.39,84.423,1194.91,6.4,7.547,17.04,76,182.74,6123,96,110.5252938,107,26.70631868,62.64751258
Rauma,362,22621,553.506,2.61,31.21,14.17,17.82,0.76,5.63,44.13,65.016,1249.83,11.9,13.979,31.64,137,251.4,17081,45,23.67219153,25,21.53942401,61.10194539
rautio,363,17477,504.017,0,65.81,16.92,4.06,8.96,20.98,0.19,64.885,1043.55,6.4,8.595,6.41,125,67.04,1687,,,,24.17872955,64.06311739
Rautu,364,33660,651.027,0,17.98,3.39,0,79.17,1.52,0,75.131,1256.85,13.7,8.602,11.63,106,108.35,5909,167,80.56504065,70,30.29061495,60.50907484
Rautavaara,365,109282,602.346,7.1,69.3,14.49,0.04,5.81,14.33,4.26,84.555,1010.87,0.8,2.844,11.4,327,157.38,4652,203,181.2053622,178,28.42529522,63.54142568
Reisjärvi,366,72207,546.26,6.13,63.61,17.5,11.32,3.52,15.37,0.53,80.122,1003.62,5.4,6.764,11.08,58,110.87,4250,74,139.8198758,137,24.98038944,63.62173447
Renko,367,20095,578.416,3.38,36.78,27.97,28.87,17.11,12.64,1.94,81.104,1217.04,11.9,12.75,19.41,134,153.96,2852,74,116.707113,116,24.30591463,60.84059051
Revonlahti,368,22900,499.246,0,31.29,13.71,6.31,37.47,24.94,0,65.003,1047.64,4.2,6.507,10.11,134,71.2,1210,77,57.54117647,55,24.96428985,64.6886557
Riistavesi,369,121685,597.314,35.9,44.96,1.75,6.31,7.93,0,7.62,74.718,1195.35,7.1,8.256,12.67,24,151.51,2660,102,97.59446254,92,28.07393744,62.93461521
Ristijärvi,370,44577,595.96,9.24,64.24,15.52,0,5.63,17.84,3.94,82.176,968.32,4.2,1.976,10.1,187,109.79,3447,210,192.0049464,189,28.43088612,64.48561446
Ristiina,371,54440,549.721,30.62,44.33,6.72,0.79,1.97,1.15,23.08,77.549,1211.56,9.2,6.926,15.77,144,99.03,5902,77,86.48946785,85,27.35252444,61.47978709
Rovaniemi,373,825181,486.168,5.09,60.22,9.83,0,5.08,20.14,7.45,83.835,862.48,0.1,0.87,22.68,829,206.68,24968,313,168.57307,168,25.83731149,66.63827039
Ruokolahti,374,100635,581.463,27.43,30.34,8.38,4.81,13.42,5.33,19.26,78.844,1248.56,5,5.966,34.37,169,145.89,27025,120,94.86819653,97,28.76046603,61.35282558
Ruotsinpyhtää,375,27792,600.529,5.98,49.64,8.66,20.72,3.02,9.75,12.33,59.17,1292.29,10.7,17.923,15.54,119,154.4,3778,63,13.46793761,11,26.40154971,60.51169507
Ruovesi,376,103440,600.312,25.45,38.61,7.2,7.3,6.85,2.84,20.86,82.56,1201.1,8.4,6.849,16.08,88,166.78,8382,119,136.6254967,138,24.07017501,62.01667556
Ruskeala,377,40584,602.946,21.56,39.21,5.38,9.99,9.58,22.47,1.83,72.846,1110.97,6.1,7.686,17.31,174,129.16,6938,120,78.7236534,81,30.59954501,61.91983015
Rusko,378,4715,627.263,0,4.81,18,59.59,4.51,0.36,30.73,64.979,1295.09,29,37.466,26.99,77,134.64,820,44,33.48148148,35,22.23609976,60.54371911
Rymättylä,379,14176,594.721,1.45,0,0,26.88,0,0,73.12,65.479,1350,14.2,35.371,18.04,1271,131.08,2327,49,12.24206349,11,21.9000435,60.36065279
Räisälä,380,36330,569.446,15.88,36.61,4.39,21.3,25.16,1.95,1.19,64.281,1256.29,14.9,15.676,11.34,126,93.95,7874,65,19.04122012,18,29.78377469,60.9026591
Rääkkylä,381,44289,543.579,45.35,33.95,4.24,4.08,4.76,10.16,2.27,78.574,1200.24,7.7,6.465,10.89,201,106.88,6397,65,77.18050721,78,29.64834532,62.27821007
Saarijärvi,383,133208,535.215,17.6,63.01,11.85,8,4.79,5.92,1.29,85.049,1115.45,6.3,9.073,11.76,88,118,9511,153,160.8034456,160,25.27797416,62.71544793
Saari,384,80215,562.522,11.4,38.94,11.73,7.62,26.76,3.85,11.11,64.866,1231.72,14.5,11.904,10.52,358,63.11,3509,87,83.06654344,83,29.72258245,61.66413407
Sahalahti,385,11405,539.164,23.66,17.95,11.34,22.44,5.5,3.5,27.25,74.761,1207.41,16,22.733,17.02,129,169.73,1677,95,121.3258706,119,24.40714012,61.47202184
Sakkola,386,39855,630.986,13.74,16.5,4.26,5.66,63.13,0.73,0,70.762,1254.08,12.2,12.383,18.68,118,125.54,6395,96,32.92470838,35,30.18331517,60.65607116
Kuolajärvi,387,1185397,456.174,1.15,63.24,12.35,0,9.37,19.18,6.08,81.748,693.19,0.1,0.394,14.53,807,183.29,5270,561,285.2762052,283,29.40968754,66.98905478
Salmi,388,144006,601.658,0.22,55.49,10.01,2.22,35.81,2.3,1.79,85.464,1120.48,2.3,2.212,17.92,230,132.03,14167,130,55.55285472,58,31.89146757,61.52186551
Saloinen,389,13720,499.412,0,63.78,16.45,2.91,24.37,7.94,1,65.011,1049.15,5,4.044,23.45,70,176.05,2549,117,49.114082,41,24.51677695,64.55558619
Sammatti,390,6145,683.817,18.76,9.7,16.73,21.01,14.52,7.25,30.69,65.163,1307.39,19.6,24.237,19.37,117,105.9,1094,69,75.65730337,75,23.81190991,60.33865738
Sauvo,391,17573,631.744,0.46,1.99,22.32,46.3,5.56,0.38,45.77,65.152,1344.64,35.8,35.237,28.73,721,237.85,2640,62,26.11611374,23,22.72259531,60.31674409
Savukoski,392,1185397,444.387,0.49,59.52,10,0,11.03,17.95,10.99,78.831,667.26,0.1,0.077,34.45,333,621.71,1410,393,266.7086251,264,28.53939618,67.6332556
Savonranta,393,22582,551.106,37.3,49.38,7.19,0.34,1.69,0.88,11.58,84.148,1197.55,4.4,4.725,38.32,235,427.42,3343,118,96.63075833,98,29.17608405,62.23868561
Savitaipale,394,53075,558.794,28.87,42.15,8.08,1.94,13.81,5.1,9.88,78.425,1275.54,6.5,6.869,10.78,184,92.28,7523,58,91.07886815,92,27.55914974,61.18467691
Seinäjoki,395,12422,543.215,4.53,36.68,15.27,28.14,0,16.39,14.25,64.925,1106.59,25.5,33.255,35.67,69,198.04,9307,75,68.44611529,68,22.83339026,62.77660183
Sievi,398,75280,513.033,1.57,57.22,17.84,9.53,4.29,27.24,1.13,70.269,1022.08,4.4,8.923,10.03,121,103.42,6088,90,113.6000942,113,24.59620575,63.84053525
Siikainen,399,42404,581.982,8.81,45.51,13.98,8.13,1.58,17.09,19.66,64.869,1139.14,5.2,7.26,8.8,175,115.92,4750,72,56.372835,56,21.88136269,61.86645556
Siikajoki,400,25364,496.959,0.31,13.29,9.31,3.73,71.82,11.16,0,64.947,1049.97,2.9,4.767,10.26,261,78.56,1736,66,24.4388587,22,24.80332,64.79220665
Siilinjärvi,401,121685,562.344,24.31,57.22,6.18,7.18,7.62,1.47,2.75,77.959,1183.85,7.1,8.155,15.47,39,171.43,5562,133,101.183,93,27.69136467,63.10262578
Simo,402,225165,527.286,0.7,39.92,13.82,0,7.69,37.48,14.41,80.443,945.99,0.3,2.197,20.32,296,123.23,3291,172,86.8754845,95,25.36960637,65.84805647
Simpele,403,80215,593.939,6.29,35.89,13.91,9.7,11.6,8.61,27.92,67.437,1236.24,14.5,11.865,30.72,189,142.25,2311,124,77.03089888,72,29.38322956,61.42866155
Sippola,404,46000,592.413,2.89,34.72,19.86,24.19,7.88,15.08,14.61,69.571,1270.9,15,13.559,30.43,90,156.83,12349,89,55.64315353,55,26.99779041,60.7877822
Soanlahti,406,43329,608.051,9.73,66.3,0,0,12.13,5.78,0.26,78.665,1053.38,2.7,4.297,13.58,187,121.32,3106,183,137.794996,154,31.03708427,62.11824454
Sodankylä,407,1995075,444.8,1.57,56.44,11.39,0,6.58,27.23,8.16,80.237,702.58,0.1,0.002,16.72,524,142.23,7005,517,261.1743399,260,26.84567889,67.75458604
Soini,408,56697,545.425,4.55,56.1,12.8,5.44,2.54,31.04,1.69,81.624,1035.5,3.1,4.963,8.73,152,83.41,3915,122,195.91445,198,24.22854103,62.83797714
Somero,410,48708,621.46,2.65,14.33,19.18,56.98,7.58,3.76,15.12,55.762,1217.89,30.5,32.243,21.82,72,174.47,9166,92,98.15785124,96,23.47637068,60.62450408
Somerniemi,411,15850,627.935,14.3,41.78,18.59,14.46,16.42,7.75,8.6,61.364,1242.93,15.8,15.88,17.54,99,122.97,2232,77,111.6401869,115,23.78747771,60.58362934
Sonkajärvi,412,298537,605.269,8.44,61.39,12.39,4.85,1.07,24.09,0.96,82.102,1027.86,2.6,3.371,13.92,92,109.9,9151,143,153.765509,155,27.65834377,63.74125677
Sortavala,413,80663,584.127,0,39.9,10.07,34.75,3.9,2.62,14.93,79.83,1187.79,13,11.625,29.47,95,211.87,26197,130,43.12425329,39,30.57216197,61.69322455
Sotkamo,414,262805,576.142,11.99,63.51,10.7,1.2,5.5,13.97,4.56,78.1,998.78,1.8,2.9,11.02,202,124.46,13535,228,192.5114406,189,28.44595951,64.04891097
Suistamo,416,150766,640.403,4.27,69.53,6.86,0.47,16.65,1.91,0.54,82.587,1067.63,1.8,2.899,17.88,171,138.45,8986,178,125.3521277,122,31.44097263,61.97073559
Sulkava,417,57828,593.764,30.93,40.98,6.62,0.33,5.76,0.42,22.64,85.404,1204.62,5.2,7.212,15.53,198,131.44,6944,93,96.88147357,98,28.41866262,61.74571316
Sumiainen,418,20334,508.363,34.89,53.34,2.4,1.94,3.25,1.63,5.3,85.009,1201.85,3.9,7.472,13.5,272,124.38,2217,115,119.2280431,120,26.02301933,62.6959253
Suodenniemi,419,19918,598.888,8.87,36.76,13.67,22.59,1.82,9.52,21.29,64.512,1193.69,10.9,16.538,12.67,118,95.33,2647,78,98.36734694,98,22.74283887,61.58918717
Suojärvi,420,343317,550.075,5.5,76.48,6.45,0,7.74,6.55,0.6,85.848,1016.78,0.4,1.345,39.15,289,234.5,15934,176,159.9617035,159,32.15476626,62.27830287
Suomusjärvi,421,15835,661.578,15.03,14.55,19.48,23.33,9.46,7.58,32.39,61.352,1298.27,14,20.665,14.35,130,95.29,1950,106,89.24465558,91,23.64578678,60.3668832
Suomenniemi,422,27900,551.867,28.27,36.01,5.16,0,2.67,1.9,32.25,81.046,1237.02,4.6,4.83,15.41,184,118.64,2034,72,88.94457275,89,27.36361218,61.33348386
Suoniemi,423,9057,601.366,24.11,16.66,4.66,26.87,0.11,0.61,32.15,75.567,1199.26,18.6,32.168,23.43,104,154.13,1875,98,90.0037037,92,23.25493428,61.45802223
Suonenjoki,424,66823,551.805,19.13,64.52,12.68,2.09,6.21,5.62,3.89,84.368,1193.65,4.6,7.948,20.65,195,206.59,8538,113,118.6194649,116,27.15278002,62.61983528
Suomussalmi,425,542457,589.276,11.49,52.55,9.9,0,6.33,24.64,5.59,82.346,869.68,0.3,1.687,13.25,252,122.14,10712,156,225.2820545,224,29.12521672,65.04613977
Sysmä,427,69059,540.282,36.05,35.9,5.1,5.74,4.64,0.9,16.89,85.434,1201.05,11.4,10.58,19.36,148,138.42,8771,117,102.8454064,99,25.7182492,61.49927292
Säkkijärvi,428,87300,598.866,0.14,36.42,7.17,27.01,24.09,9.13,2.23,72.418,1252.59,8.3,9.6,16.54,77,112.9,161,60,28.35234899,29,28.19671776,60.65976141
Säkylä,429,15676,609.505,39.89,20.99,7.54,12.06,15.67,7.2,4.19,64.906,1222.09,17.4,17.262,13.12,95,100.85,3193,97,64.21350078,57,22.39289523,61.00212598
Säräisniemi,430,162623,558.14,28.36,27.08,7.45,2.47,11.42,30.44,0.85,69.101,1022.11,0.7,2.976,12.02,234,117.79,4043,115,139.2290434,139,26.96771584,64.52333539
Särkisalo,431,8158,635.623,2.8,17.87,4,21.29,5.33,0,52.64,64.991,1338.11,19.9,29.433,28.47,99,166.83,1842,65,20.20886076,17,22.93799088,60.09014695
Säyneinen,432,86430,599.551,9.28,50.56,21.32,0.42,16.01,18.56,5.69,84.617,1033.59,3.3,2.368,8.06,43,112.84,2804,119,140.3027719,142,28.59988939,63.29739
Sääksmäki,433,24320,543.066,40.97,25.62,6.55,17.01,5.38,8.62,2.72,69.487,1200.02,26.8,35.841,22.52,28,150.51,3958,85,91.99295775,86,24.0809373,61.15641891
Sääminki,434,96351,587.319,46.24,29.12,4.31,0.1,7.66,0.91,17.14,78.315,1205.61,5,8.027,16.7,167,135.58,10728,99,90.22278481,91,28.88571673,61.78098955
Taivalkoski,435,320481,568.792,7.57,59.86,11.2,0,10.16,15.3,7.34,76.347,851.97,0.2,0.37,9.87,590,115.22,4471,231,245.779519,243,28.35453533,65.5604218
Taipalsaari,436,34066,549.693,66.36,12.24,0.05,2.48,12.15,3.35,3.42,74.613,1304.79,7.1,8.229,17.67,139,132.02,4035,54,75.93954169,68,28.11894581,61.2325081
Taivassalo,437,12854,599.365,0,0,0,33.84,2.12,0,64.04,65.108,1339.75,24,34.197,12.63,114,93.37,2738,31,14.41635688,15,21.58362969,60.56905068
Tammela,438,70212,603.298,12.87,37.56,16.39,12.88,16.17,18.12,3.85,63.28,1206.7,16.3,21.392,18.89,82,138.93,7074,94,129.5109114,130,23.82417351,60.77349278
Tarvasjoki,439,9215,630.861,0,11.27,21.69,64.13,1.95,1.24,21.42,56.835,1246.73,35.2,35.159,16.7,711,124.49,1946,50,60.61764706,59,22.73486501,60.58409423
Teerijärvi,440,20688,516.256,7.47,63.25,35.09,3.39,2.1,25.13,0,64.724,1063.57,8.9,12.878,14.12,161,67.36,3004,61,63.02851711,62,23.52699842,63.51090773
Teisko,441,37528,650.657,32.63,15.38,9.48,17.7,6.23,2.8,26.87,83.462,1201.98,11.3,16.294,17.27,109,149.84,4401,107,124.7813918,125,23.86350636,61.7064746
Temmes,442,12091,520.434,0.34,38.49,10.68,0.21,7.89,53.33,0,64.898,1025.12,6.4,7.168,8.11,152,101.48,960,92,86.45021645,86,25.93524664,64.54635113
Terijoki,444,73307,645.165,0.03,0,8.06,0,87.49,10.45,0,75.041,1278.93,7.7,12.143,30.13,30,180.58,7913,72,31.71197411,31,29.84415106,60.19590744
Tervo,445,116231,534.902,41.23,54.22,6.15,0.66,0.51,4.03,2.64,84.821,1118.79,6.4,7.855,14.79,79,186.38,3347,78,109.9992032,110,26.8160368,62.97146228
Tervola,446,178346,532.693,0.14,48.63,15.42,0,14.17,24.66,10.17,83.732,921.12,0.6,2.08,13.05,282,117.62,5243,211,82.82480114,75,25.08046221,66.11621074
Teuva,447,55853,550.948,0,50.88,16.39,21.13,1.85,23.73,2.42,64.878,1093.04,13.8,17.607,12.12,79,78.57,8019,154,94.26967096,90,21.80315805,62.50630307
Tohmajärvi,448,90382,565.322,8.29,23.62,13.1,1.24,38.16,23.67,5.35,77.165,1062.03,4.7,4.857,11.74,162,157.45,7583,119,107.400974,106,30.32268248,62.26053676
Toholampi,449,54455,522.774,0.82,54.82,19.29,14.68,0.69,28.9,0.55,73.928,1024.79,9,7.305,11.18,86,121.57,4567,90,121.542804,123,24.2954478,63.73463457
Toivakka,450,74442,551.638,11.93,65.38,12.43,7.1,5.29,2.28,9.61,84.765,1195.79,7.6,4.237,14.12,45,138.37,2932,140,138.7364532,132,26.12586661,62.12065124
Tottijärvi,452,5134,593.724,29.95,28.85,9.7,25.24,1.46,0.51,14.3,75.303,1201.63,28.6,25.518,10.73,75,99.12,1148,85,92.78275862,92,23.38972936,61.40133395
Tampere,453,14082,617.633,48.45,3.59,1.18,23.41,16.33,0.5,7.67,75.022,1205.92,23.6,18.827,74.64,16,648.48,79538,76,99.39552239,92,23.67281507,61.51066567
Turku,454,9990,623.684,0,3.51,24.44,53.66,10.06,0,32.76,65.003,1337.49,33.7,37.495,66.84,206,549.7,84365,41,25.95833333,24,22.27925997,60.44604601
Turtola,455,143059,449.085,7.37,64.41,11.11,0,5.86,12.58,9.01,85.074,882.64,0.3,1.779,14.08,470,116.5,4544,275,152.5172096,147,24.30055282,66.77644056
Tuulos,456,14962,566.005,11.04,42.72,12.88,13.25,18.09,11.18,4.5,65.588,1208.99,10.8,13.018,21.34,144,97.4,1993,101,127.6002639,129,24.77046976,61.12969276
Tuusniemi,457,61089,613.689,30.26,56.8,7.6,1.05,5.91,0.67,7.67,82.278,1183.97,3.7,7.06,10.19,369,139.21,6135,137,112.6236559,112,28.46969809,62.76403434
Tuupovaara,458,50100,580.758,11.47,66.61,16.4,0,11.42,8.83,2.86,86.044,1053.85,3.4,3.185,8.37,223,123.62,4573,155,153.0995822,153,30.68602418,62.49024929
Tuusula,459,28484,671.621,3.58,16.42,17.76,53.46,11.03,4.1,11.4,57.983,1262.5,20.4,32.977,150.99,89,271.07,11521,73,60.75239617,60,25.01364033,60.45735018
Tyrnävä,461,38937,512.729,0.65,28.32,17.01,8.13,38.23,24.53,0.14,64.948,1034.38,9.6,7.478,13.69,108,155.35,3679,112,49.23815704,44,25.81245642,64.71112572
Tyrväntö,462,8800,537.576,39.18,29.71,3.91,18.46,2.7,5.8,1.55,64.192,1203.98,30.7,33.273,23.8,81,164.41,3808,64,93.99658703,90,24.30939866,61.17407903
Tyrvää,463,42476,591.286,7.36,46.24,18.46,23.09,4.1,10.9,8.51,65.72,1202.32,17.5,20.15,19.01,103,131.45,9044,83,100.9066667,102,23.00433171,61.30990281
Töysä,467,29246,557.737,5.91,43.84,17.76,12.76,2.52,15.81,21.35,72.322,1072.18,15.8,10.249,9.76,59,77.09,3845,97,168.5753968,171,23.85809974,62.63618145
Ullava,468,9689,520.589,8.45,38.95,14.25,2,17.59,32.44,0.8,69.773,1034.47,7.6,7.406,9.27,161,99.63,1485,76,113.3966006,121,23.98250062,63.64319301
Ulvila,469,16652,536.875,0,32.24,8.59,24.68,30.18,0.09,9.51,64.99,1171.21,38.3,33.075,23.5,77,182.03,4611,52,23.40318907,20,21.88489257,61.447444
Urjala,470,53745,585.003,7.08,32.94,19.5,27.59,7.95,14.7,10.49,67.13,1199.58,23.8,27.113,17.51,62,161.68,7763,78,118.619615,117,23.45789671,61.08684532
Uskela,471,13646,634.245,0.26,13.07,21.48,41.43,6.83,3.59,35.08,62.027,1280.53,29.4,36.567,27.36,703,186.61,2021,88,52.47949527,57,23.1600632,60.37830907
Utajärvi,472,101660,521.97,1.42,34.73,14.97,3.24,17.11,42.11,0.83,64.895,1024.1,2.9,4.804,9.59,155,100.57,5635,124,122.2325436,122,26.81090651,64.85243207
Uukuniemi,474,51172,572.067,19.52,22.39,4.38,1.15,34.02,19.07,1.08,68.658,1240.44,5.4,8.711,9.14,191,93.89,1351,75,85.58224705,86,30.0797442,61.73728252
Uurainen,475,33940,552.533,8.77,71.91,13.43,3.38,7.07,11.23,0.46,85.076,1091.16,5.3,7.478,13.25,174,105.9,3174,143,180.6379853,178,25.40860732,62.47098456
Uusikirkko Vpl.,476,82000,633.443,2.94,14.59,6.14,0.65,69.44,7.72,0,75.042,1278.61,9.2,7.572,15.36,140,102.79,11110,113,51.99579537,52,29.24923746,60.28966815
Vahto,478,8193,630.793,0,12.87,31.16,39.14,11.73,12.11,24.15,65.149,1258.57,22,34.403,16.09,71,97.02,1045,54,60.09952607,61,22.3335732,60.64087107
Vahviala,479,87980,604.353,0.38,21.76,9.42,30.53,33.66,8.57,5.04,70.112,1248.26,18.4,15.638,24.22,22,154.14,66,65,35.69662921,37,28.47016786,60.77712918
Valkjärvi,480,45322,633.492,2.7,47.03,7.97,2.83,40.84,4.11,0,72.491,1259.1,8.5,8.719,10.62,119,66.4,7694,142,72.9960396,74,29.86016365,60.55762508
Valtimo,482,61500,591.981,7.21,66.78,20.63,4.36,4.33,8.1,10.84,78.463,994.63,3,6.079,12.05,174,151.83,4661,149,160.15437,163,28.80705421,63.74600451
Vampula,483,14161,600.928,0,24.21,24.22,52.63,4.61,6.52,12.03,59.052,1201.39,36.5,33.026,15.05,67,102.6,3218,49,78.79345088,78,22.70088437,61.05374081
Vanaja,484,25785,563.122,9.29,40.13,14.84,15.62,13.41,19.34,0.35,69.958,1213.84,10.9,13.369,27.16,104,186.83,5402,120,124.3648,126,24.61515445,60.97271901
Varpaisjärvi,486,138420,579.869,11.4,71.96,12.14,0.75,5.21,8.09,3.62,85.584,1080.3,4.2,4.324,10.55,88,120.02,5584,113,136.8727404,137,27.86217533,63.40475858
Vehkalahti,487,68000,599.379,4.91,29.78,20.72,17.78,7.94,11.01,29.38,70.318,1283.38,12.3,12.016,23.66,109,152.93,9351,106,44.07879925,44,27.24407756,60.68943693
Vehmaa,488,18356,619.404,2.12,14.15,13.09,35.62,0.36,1.19,48.07,64.976,1285.24,26.1,24.726,21.59,102,146.83,4098,33,14.62247191,14,21.69142815,60.67553484
Vehmersalmi,489,121685,603.573,44.3,47.03,4.87,0.78,1.74,0.11,8.96,77.608,1205.23,7.1,7.35,12.41,49,152.43,4040,96,94.65888978,93,28.07931102,62.75358387
Velkua,490,3277,584.143,0,0,0,25.89,0,0,74.11,65.514,1350.13,4.6,36.269,8.43,237,57.21,390,31,7.617647059,5,21.66897442,60.44581333
Vesanto,493,32945,518.994,23.3,69.04,8.72,1.74,1.21,3.56,2.01,85.238,1162.63,9.5,7.233,15.02,126,143.13,4823,133,127.2012635,122,26.40765981,62.92255225
Vesilahti,494,38345,574.917,20.66,42.21,10.94,18.88,0.82,8.68,10.1,75.784,1201.24,22,26.511,16.01,871,165.45,5724,78,106.3485714,113,23.48768661,61.28679079
Veteli,496,25200,510.657,4.01,43.22,19.57,6.25,5.7,39.95,0.98,66.865,1052.08,15.8,15.542,8.24,90,74.25,4086,105,111.1952487,109,23.90883627,63.39981853
Vieremä,497,298537,584.835,5.83,61.32,11.32,10.03,7.04,15.22,1.2,76.956,1011.62,2.6,3.342,13.97,76,129.67,6393,159,157.777161,159,26.99513199,63.8429294
Vihanti,498,51128,502.917,0.83,40.34,15.83,10.18,16.73,32.03,0.49,64.996,1032.55,3.1,3.988,9.55,193,106.87,3369,51,99.63636364,100,25.09822246,64.43067036
Vihti,499,51850,697.268,10.27,22.2,16.89,30.91,9.2,6.62,22.37,59.412,1283.43,19.2,23.859,25.17,110,231.44,8772,113,79.15634441,77,24.3944757,60.40898252
Viiala,500,13130,553.741,9.09,41.7,8.19,37.23,4.93,6.59,0.45,75.16,1201.84,30.1,36.734,21.54,20,188.48,3043,72,98.54098361,93,23.71397367,61.21323908
